94789KJFK JFK20190601111010206/01/19 11:10:31  5-MIN KJFK 011610Z 09004KT 10SM CLR 24/13 A2985 80 49 1200 100/04 RMK AO2 T02390128
94789KJFK JFK20190601111510206/01/19 11:15:31  5-MIN KJFK 011615Z 12004KT 10SM CLR 24/13 A2985 80 49 1200 140/04 RMK AO2 T02390128
94789KJFK JFK20190601112010206/01/19 11:20:31  5-MIN KJFK 011620Z 09004KT 10SM CLR 24/13 A2985 80 51 1200 100/04 RMK AO2 T02390133
94789KJFK JFK20190601112510206/01/19 11:25:31  5-MIN KJFK 011625Z 09003KT 10SM CLR 24/13 A2985 80 47 1200 100/03 RMK AO2 T02440128
94789KJFK JFK20190601113010206/01/19 11:30:31  5-MIN KJFK 011630Z 10005KT 10SM CLR 24/13 A2985 80 49 1200 110/05 RMK AO2 T02440133
94789KJFK JFK20190601113510206/01/19 11:35:31  5-MIN KJFK 011635Z VRB05KT 10SM CLR 24/13 A2985 80 47 1200 VRB/05 RMK AO2 T02440128
94789KJFK JFK20190601114010206/01/19 11:40:31  5-MIN KJFK 011640Z 13005KT 10SM CLR 24/13 A2985 80 49 1200 150/05 RMK AO2 T02440133
94789KJFK JFK20190601114510906/01/19 11:45:31  5-MIN KJFK 011645Z 15003KT 10SM CLR 24/13 A2985 80 49 1200 170/03 RMK AO2 SLP107 T02440133
94789KJFK JFK20190601115011206/01/19 11:50:31  5-MIN KJFK 011650Z 15005KT 10SM BKN250 24/13 A2985 90 51 1200 170/05 RMK AO2 SLP106 T02390133
94789KJFK JFK20190601115510206/01/19 11:55:31  5-MIN KJFK 011655Z 10003KT 10SM CLR 25/13 A2984 90 48 1300 110/03 RMK AO2 T02500133
94789KJFK JFK20190601120010206/01/19 12:00:31  5-MIN KJFK 011700Z 13004KT 10SM CLR 24/14 A2984 90 51 1200 150/04 RMK AO2 T02440139
94789KJFK JFK20190601120510206/01/19 12:05:31  5-MIN KJFK 011705Z 13006KT 10SM CLR 24/14 A2984 90 51 1200 140/06 RMK AO2 T02440139
94789KJFK JFK20190601121010206/01/19 12:10:31  5-MIN KJFK 011710Z 16008KT 10SM CLR 24/13 A2984 90 49 1300 170/08 RMK AO2 T02440133
94789KJFK JFK20190601121510306/01/19 12:15:31  5-MIN KJFK 011715Z 15008KT 10SM CLR 25/14 A2983 100 49 1300 160/08 RMK AO2 T02500139
94789KJFK JFK20190601122010306/01/19 12:20:31  5-MIN KJFK 011720Z 16005KT 10SM CLR 25/14 A2983 100 51 1300 170/05 RMK AO2 T02500144
94789KJFK JFK20190601122510306/01/19 12:25:31  5-MIN KJFK 011725Z 13008KT 10SM CLR 25/14 A2983 100 49 1300 140/08 RMK AO2 T02500139
94789KJFK JFK20190601123010306/01/19 12:30:31  5-MIN KJFK 011730Z VRB06KT 10SM CLR 25/14 A2983 100 49 1300 VRB/06 RMK AO2 T02500139
94789KJFK JFK20190601123510306/01/19 12:35:31  5-MIN KJFK 011735Z 14007KT 10SM CLR 26/14 A2983 100 49 1400 150/07 RMK AO2 T02560144
94789KJFK JFK20190601124010306/01/19 12:40:31  5-MIN KJFK 011740Z 15004KT 10SM CLR 25/13 A2983 100 48 1300 160/04 RMK AO2 T02500133
